code,name,period,report_date,report_type,revenue_cny,revenue_yoy_pct,net_profit_parent_cny,net_profit_yoy_pct,gross_margin_pct,roe_weighted_pct,asset_liability_pct,ocf_to_net_profit,sales_net_margin_pct,eps_basic,bps
SZ300476,胜宏科技,latest,2026-03-31 00:00:00,一季报,5519485066.85,27.992782649537,1288427592.46,39.947998853247,34.4584933385,7.62,55.2339383821,1.642822984813,23.3432571491,1.48,19.946167475293
SZ300476,胜宏科技,annual2025,2025-12-31 00:00:00,年报,19292313457.36,79.77326847505,4311988274.4,273.516295812769,35.2234799653,35.56,52.8504743188,1.067408464744,22.3508097353,5.01,19.093033331974
SZ002463,沪电股份,latest,2026-03-31 00:00:00,一季报,6214156406,53.906140976542,1242081367,62.903309055073,35.6324179234,7.81,48.6431188539,0.411632209343,19.9776069975,0.6455,8.724895094497
SZ002463,沪电股份,annual2025,2025-12-31 00:00:00,年报,18945220585,42.0017369822,3822306272,47.737015416548,35.4755614,28.57,46.457351344,1.013956335746,20.1563929587,1.9875,7.853352213044
SZ002916,深南电路,latest,2026-03-31 00:00:00,一季报,6595587902.38,37.899447303564,850230796.58,73.005176866479,29.1690112056,4.83,47.2424708369,0.290628698848,12.9069897794,1.28,26.558029045846
SZ002916,深南电路,annual2025,2025-12-31 00:00:00,年报,23646977088.98,32.05109247654,3275738151.27,74.467318684826,28.3163430047,20.79,43.8231478277,1.170756711891,13.8644145764,4.91,25.721285780706
SH600183,生益科技,latest,2026-03-31 00:00:00,一季报,8141455910.4,45.088535139882,1158139324.56,105.4723584166,28.1013204296,6.68,44.0311846029,0.429005439271,16.364488003,0.48,7.380355443425
SH600183,生益科技,annual2025,2025-12-31 00:00:00,年报,28431138459.44,39.448096835958,3333954377.92,91.753196637251,26.4727016039,21.25,42.2937205234,1.355037844449,13.6887645555,1.39,6.884594638169
SH688183,生益电子,latest,2026-03-31 00:00:00,一季报,2410568379.4,52.620929221638,444718185.46,122.155999892028,35.2055055904,7.47,47.5180303942,1.383667587426,18.4486857648,0.54,7.369876640529
SH688183,生益电子,annual2025,2025-12-31 00:00:00,年报,9493763839.18,102.571190082419,1473148860.35,343.755419181993,31.1639455173,29.74,48.8759822388,1.100448515138,15.5170160676,1.8,6.907151568004
SZ002384,东山精密,latest,2026-03-31 00:00:00,一季报,13137636263.36,52.723432742343,1109892942.38,143.471031697826,19.3275357993,5.05,63.688751371,1.002241137932,8.5567370632,0.61,12.359470838865
SZ002384,东山精密,annual2025,2025-12-31 00:00:00,年报,40124858839.52,9.122791245558,1386066705.56,27.672556861537,14.0865021192,6.89,63.9806725613,3.809953644461,3.4715824006,0.79,11.717110569618
SH603936,博敏电子,latest,2026-03-31 00:00:00,一季报,817938924.51,-0.597447071941,-10854372.74,-139.720430685396,15.5035643604,-0.25,58.6779785491,,-1.2515147859,-0.02,6.821233092895
SH603936,博敏电子,annual2025,2025-12-31 00:00:00,年报,3612047156.12,10.587124218131,6611722.13,102.801945900192,14.4683191919,0.16,57.3470799047,114.282434799676,0.1066839106,0.01,6.84504946391
SZ002579,中京电子,latest,2026-03-31 00:00:00,一季报,699240829.57,-5.878713448696,5619861.31,-16.873867584652,15.7476002478,0.23,61.8160397154,33.326037975847,0.6276671333,0.0092,3.922116916949
SZ002579,中京电子,annual2025,2025-12-31 00:00:00,年报,3140650093.21,7.112978108064,27368948.11,131.302533245197,16.9423775078,1.13,61.5626928063,14.922238510482,0.5321928462,0.04,3.928845019859
