local_sector,quality_result,name,code,market,price,pe,pb,market_cap_yi,float_market_cap_yi,change_pct,turnover_rate,high_52w,low_52w
食品饮料,通过,贵州茅台,600519,SH,1292.01,19.53,6.94,16151.18,16151.18,-1.00,0.27,1435.50,1174.50
食品饮料,通过,五粮液,000858,SZ,74.84,23.05,2.46,2905.00,2904.92,0.12,0.95,82.23,67.28
食品饮料,通过,泸州老窖,000568,SZ,85.13,12.60,2.43,1253.03,1252.31,-1.92,0.76,95.48,78.12
食品饮料,通过,山西汾酒,600809,SH,122.98,13.66,3.33,1500.31,1500.31,-1.62,0.91,137.50,112.50
食品饮料,通过,洋河股份,002304,SZ,40.25,59.71,1.29,606.34,606.33,-1.42,0.43,44.91,36.75
食品饮料,通过,海天味业,603288,SH,36.65,29.46,5.74,2144.69,2037.96,0.55,0.27,40.10,32.81
食品饮料,豁免C通过,伊利股份,600887,SH,27.23,14.25,3.20,1722.40,1713.84,-0.55,0.95,30.12,24.64
食品饮料,豁免A通过,东鹏饮料,605499,SH,128.17,20.05,4.94,941.02,866.45,-2.01,0.79,143.88,117.72
食品饮料,豁免B通过,重庆啤酒,600132,SH,44.50,18.01,17.26,215.37,215.37,-0.20,0.55,49.05,40.13
科技硬件,通过,中际旭创,300308,SZ,1072.52,80.01,34.53,11961.11,11904.33,1.10,2.46,1272.96,848.64
科技硬件,通过,中微公司,,,,,,,,,,,
科技硬件,通过,澜起科技,,,,,,,,,,,
科技硬件,通过,新易盛,300502,SZ,497.30,64.56,35.72,6933.64,6237.35,-2.26,3.53,610.56,407.04
科技硬件,通过,天孚通信,300394,SZ,212.09,106.52,42.32,2313.53,2308.36,-2.55,2.64,261.16,174.10
科技硬件,豁免C通过,工业富联,601138,SH,62.88,30.70,7.08,12477.97,12477.97,3.57,0.81,66.78,54.64
新能源,通过,宁德时代,300750,SZ,385.99,22.61,5.46,17858.41,16431.73,3.69,0.84,446.71,297.81
新能源,豁免B通过,比亚迪,002594,SZ,92.65,30.66,3.64,8447.08,3230.35,1.18,0.97,100.73,82.41
新能源,通过,阳光电源,300274,SZ,117.79,20.48,5.17,2442.04,1869.95,7.13,5.86,131.94,87.96
新能源,通过,汇川技术,300124,SZ,62.36,35.62,4.82,1688.46,1503.07,1.25,1.16,73.91,49.27
新能源,通过,三花智控,002050,SZ,37.19,38.29,4.98,1564.96,1372.75,-3.05,1.95,42.20,34.52
医药健康,通过,恒瑞医药,600276,SH,54.91,44.89,5.85,3644.49,3502.71,-0.87,1.25,60.93,49.85
医药健康,通过,迈瑞医疗,300760,SZ,150.80,23.33,4.74,1828.36,1826.79,-0.97,0.65,182.72,121.82
医药健康,通过,药明康德,603259,SH,127.45,18.89,4.78,3802.80,3152.20,1.23,1.89,138.49,113.31
医药健康,通过,片仔癀,600436,SH,136.58,43.32,5.42,824.01,824.01,-2.44,1.55,154.00,126.00
医药健康,豁免通过,爱尔眼科,300015,SZ,8.76,24.17,3.73,814.64,697.05,-1.46,0.94,10.67,7.11
医药健康,豁免B通过,长春高新,000661,SZ,78.36,-761.26,1.44,319.66,313.14,1.19,4.68,85.18,69.70
医药健康,通过,华兰生物,002007,SZ,13.10,27.89,2.22,239.17,206.13,-0.68,0.77,14.51,11.87
医药健康,豁免C通过,云南白药,000538,SZ,51.70,17.55,2.35,922.46,916.61,-0.10,0.50,56.93,46.58
家电与消费电子,通过,美的集团,000333,SZ,84.77,14.62,3.17,6463.49,5832.85,-0.04,0.28,93.28,76.32
家电与消费电子,通过,格力电器,000651,SZ,40.57,7.79,1.49,2272.49,2240.28,-0.71,0.72,44.95,36.77
